extends,延伸
assemble,组装
placeholders,占位符
qty,数量
facilities,设备
backslash,反斜杠
linnet,红雀
poem,诗
raths,拉斯
bandersnatch,想象猛兽
conjunction,连词
simulate,模拟
rhomboid,菱形
sweetshop,糖果店
automate,自动化
flawed,有缺陷的
event-handling,事件处理
consuming,耗时
redirect,重定向
jobtitle,职称
clearing,结算
meaningless,无意义的
generify,泛型化
discard,丢弃
incoming,传入
getpower,得到力量
hourly,每小时
pre-generic,预通用
decorated,装饰
caramel,焦糖
ragged,衣衫褴褛
traverse,遍历
speeds,加快
least-recently-used,最近最少使用
traversal,遍历
indeterminate,不定
extensive,广泛
repetitions,重复
cleared,清除
frequency,频率
fail-fast,快速失败的
scheduling,调度
filedescriptor,文件描述符
redirection,重定向
setin,非瑟酮
coal,煤
encode,编码
byteorder,字节顺序
contend,抗衡
socket,插座
compresses,压缩
circumstances,情况
deserialize,反序列化
non-transient,非暂时性的
thoroughly,彻底
consumed,消耗
bunsen,本生
honeydew,甘露
gonzo,奇闻趣事
slippers,拖鞋
wicked,邪恶
hither,到这里来
nutty,坚果
municipal,市政
blowdry,吹干
probability,可能性
toothpaste,牙膏
terminal,终奌站
dispatches,调度
apt-based,易为主
surface,表面
single-processor,单处理器
erlang,二郎
pending,悬而未决
unstable,不稳定
impression,印象
sleepy,困
escalating,不断升级
commitment,承诺
cached,缓存
aborting,中止
turnstile,旋转门
localhost,本地主机
shutting,关闭
interval,间隔
notified,收到通知
handshaking,握手
rockets,火箭
jammed,卡住
circular,圆
cust,卡斯特
chassis,机壳
rough,粗
pluggable,可插拔
hey,嘿
repainted,粉刷一新
mad,狂
checkboxes,复选框
comboboxes,组合框
radians,弧度
openl,去除隐藏
feels,感觉
motif,主题
deployed,部署
purge,清除
